date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonup,sunup,moonrise,moonset,sunrise,sunset,DewPointC Norm,FeelsLikeC Norm,HeatIndexC Norm,WindChillC Norm,WindGustKmph Norm,cloudcover Norm,humidity Norm,precipMM Norm,pressure Norm,tempC Norm,visibility,winddirDegree Norm,windspeedKmph Norm
10/1/2017 0:00,21,9,0,11.6,5,71,0,0,3:26 pm,1:02 am,5:41 am,5:25 pm,0.617021277,0.594202899,0.543859649,0.630769231,0.22,0.04,0.740740741,0,0.735294118,0.58490566,10,0.933333333,0.185714286
10/1/2017 1:00,21,9,0,11.6,5,71,0,0,3:26 pm,1:02 am,5:41 am,5:25 pm,0.595744681,0.594202899,0.543859649,0.630769231,0.22,0.03,0.75308642,0,0.735294118,0.58490566,10,0.936111111,0.185714286
10/1/2017 2:00,21,9,0,11.6,5,71,0,0,3:26 pm,1:02 am,5:41 am,5:25 pm,0.595744681,0.594202899,0.543859649,0.630769231,0.22,0.01,0.765432099,0,0.735294118,0.58490566,10,0.938888889,0.185714286
10/1/2017 3:00,21,9,0,11.6,5,71,0,0,3:26 pm,1:02 am,5:41 am,5:25 pm,0.595744681,0.594202899,0.526315789,0.630769231,0.22,0,0.765432099,0,0.720588235,0.566037736,10,0.944444444,0.185714286
10/1/2017 4:00,21,9,0,11.6,5,71,0,0,3:26 pm,1:02 am,5:41 am,5:25 pm,0.617021277,0.594202899,0.543859649,0.630769231,0.21,0,0.75308642,0,0.720588235,0.58490566,10,0.941666667,0.185714286
10/1/2017 5:00,21,9,0,11.6,5,71,0,0,3:26 pm,1:02 am,5:41 am,5:25 pm,0.617021277,0.594202899,0.543859649,0.630769231,0.2,0,0.728395062,0,0.735294118,0.58490566,10,0.938888889,0.2
10/1/2017 6:00,21,9,0,11.6,5,71,0,1,3:26 pm,1:02 am,5:41 am,5:25 pm,0.617021277,0.608695652,0.561403509,0.646153846,0.2,0,0.716049383,0,0.735294118,0.603773585,10,0.936111111,0.2
10/1/2017 7:00,21,9,0,11.6,5,71,0,1,3:26 pm,1:02 am,5:41 am,5:25 pm,0.595744681,0.637681159,0.578947368,0.676923077,0.17,0,0.604938272,0,0.735294118,0.622641509,10,0.944444444,0.185714286
10/1/2017 8:00,21,9,0,11.6,5,71,0,1,3:26 pm,1:02 am,5:41 am,5:25 pm,0.595744681,0.666666667,0.614035088,0.707692308,0.15,0,0.50617284,0,0.735294118,0.660377358,10,0.955555556,0.171428571
10/1/2017 9:00,21,9,0,11.6,5,71,0,1,3:26 pm,1:02 am,5:41 am,5:25 pm,0.574468085,0.695652174,0.631578947,0.738461538,0.13,0,0.407407407,0,0.735294118,0.679245283,10,0.966666667,0.157142857
10/1/2017 10:00,21,9,0,11.6,5,71,0,1,3:26 pm,1:02 am,5:41 am,5:25 pm,0.574468085,0.724637681,0.666666667,0.769230769,0.09,0,0.358024691,0,0.735294118,0.716981132,10,0.647222222,0.114285714
10/1/2017 11:00,21,9,0,11.6,5,71,0,1,3:26 pm,1:02 am,5:41 am,5:25 pm,0.574468085,0.739130435,0.684210526,0.784615385,0.06,0,0.296296296,0,0.720588235,0.735849057,10,0.327777778,0.071428571
10/1/2017 12:00,21,9,0,11.6,5,71,0,1,3:26 pm,1:02 am,5:41 am,5:25 pm,0.595744681,0.768115942,0.719298246,0.815384615,0.02,0.01,0.24691358,0,0.720588235,0.773584906,10,0.008333333,0.028571429
10/1/2017 13:00,21,9,0,11.6,5,71,0,1,3:26 pm,1:02 am,5:41 am,5:25 pm,0.595744681,0.768115942,0.719298246,0.815384615,0.02,0,0.24691358,0,0.705882353,0.773584906,10,0.275,0.028571429
10/1/2017 14:00,21,9,0,11.6,5,71,0,1,3:26 pm,1:02 am,5:41 am,5:25 pm,0.595744681,0.768115942,0.719298246,0.815384615,0.03,0,0.24691358,0,0.705882353,0.773584906,10,0.541666667,0.042857143
10/1/2017 15:00,21,9,0,11.6,5,71,0,1,3:26 pm,1:02 am,5:41 am,5:25 pm,0.595744681,0.782608696,0.736842105,0.830769231,0.03,0,0.24691358,0,0.691176471,0.79245283,10,0.808333333,0.042857143
10/1/2017 16:00,21,9,0,11.6,5,71,0,1,3:26 pm,1:02 am,5:41 am,5:25 pm,0.595744681,0.753623188,0.701754386,0.8,0.06,0,0.296296296,0,0.705882353,0.754716981,10,0.758333333,0.057142857
10/1/2017 17:00,21,9,0,11.6,5,71,0,1,3:26 pm,1:02 am,5:41 am,5:25 pm,0.595744681,0.739130435,0.684210526,0.784615385,0.09,0,0.345679012,0,0.705882353,0.735849057,10,0.705555556,0.085714286
10/1/2017 18:00,21,9,0,11.6,5,71,0,0,3:26 pm,1:02 am,5:41 am,5:25 pm,0.595744681,0.710144928,0.649122807,0.753846154,0.12,0,0.395061728,0,0.705882353,0.698113208,10,0.655555556,0.1
10/1/2017 19:00,21,9,0,11.6,5,71,0,0,3:26 pm,1:02 am,5:41 am,5:25 pm,0.595744681,0.695652174,0.631578947,0.738461538,0.15,0,0.432098765,0,0.705882353,0.679245283,10,0.708333333,0.114285714
10/1/2017 20:00,21,9,0,11.6,5,71,0,0,3:26 pm,1:02 am,5:41 am,5:25 pm,0.595744681,0.68115942,0.614035088,0.723076923,0.18,0,0.469135802,0,0.705882353,0.660377358,10,0.763888889,0.142857143
10/1/2017 21:00,21,9,0,11.6,5,71,0,0,3:26 pm,1:02 am,5:41 am,5:25 pm,0.595744681,0.652173913,0.596491228,0.692307692,0.21,0,0.50617284,0,0.705882353,0.641509434,10,0.819444444,0.157142857
10/1/2017 22:00,21,9,0,11.6,5,71,0,0,3:26 pm,1:02 am,5:41 am,5:25 pm,0.574468085,0.652173913,0.596491228,0.692307692,0.25,0.01,0.50617284,0,0.705882353,0.641509434,10,0.847222222,0.185714286
10/1/2017 23:00,21,9,0,11.6,5,71,0,0,3:26 pm,1:02 am,5:41 am,5:25 pm,0.574468085,0.637681159,0.596491228,0.676923077,0.28,0.01,0.518518519,0,0.705882353,0.641509434,10,0.877777778,0.214285714
10/2/2017 0:00,18,12,0,11.6,5,78,0,0,4:01 pm,2:03 am,5:42 am,5:23 pm,0.574468085,0.637681159,0.578947368,0.676923077,0.32,0.02,0.530864198,0,0.705882353,0.622641509,10,0.905555556,0.242857143
10/2/2017 1:00,18,12,0,11.6,5,78,0,0,4:01 pm,2:03 am,5:42 am,5:23 pm,0.574468085,0.637681159,0.578947368,0.676923077,0.29,0.04,0.555555556,0,0.705882353,0.622641509,10,0.922222222,0.228571429
10/2/2017 2:00,18,12,0,11.6,5,78,0,0,4:01 pm,2:03 am,5:42 am,5:23 pm,0.595744681,0.623188406,0.578947368,0.661538462,0.27,0.05,0.567901235,0,0.705882353,0.622641509,10,0.938888889,0.214285714
10/2/2017 3:00,18,12,0,11.6,5,78,0,0,4:01 pm,2:03 am,5:42 am,5:23 pm,0.595744681,0.623188406,0.578947368,0.661538462,0.25,0.07,0.592592593,0,0.705882353,0.622641509,10,0.952777778,0.2
10/2/2017 4:00,18,12,0,11.6,5,78,0,0,4:01 pm,2:03 am,5:42 am,5:23 pm,0.595744681,0.623188406,0.578947368,0.661538462,0.24,0.05,0.580246914,0,0.720588235,0.622641509,10,0.966666667,0.2
10/2/2017 5:00,18,12,0,11.6,5,78,0,0,4:01 pm,2:03 am,5:42 am,5:23 pm,0.595744681,0.637681159,0.578947368,0.676923077,0.22,0.03,0.555555556,0,0.735294118,0.622641509,10,0.977777778,0.2
10/2/2017 6:00,18,12,0,11.6,5,78,0,1,4:01 pm,2:03 am,5:42 am,5:23 pm,0.595744681,0.637681159,0.596491228,0.676923077,0.21,0.02,0.543209877,0,0.735294118,0.641509434,10,0.988888889,0.2
10/2/2017 7:00,18,12,0,11.6,5,78,0,1,4:01 pm,2:03 am,5:42 am,5:23 pm,0.595744681,0.666666667,0.614035088,0.707692308,0.2,0.06,0.49382716,0,0.75,0.660377358,10,0.677777778,0.2
10/2/2017 8:00,18,12,0,11.6,5,78,0,1,4:01 pm,2:03 am,5:42 am,5:23 pm,0.617021277,0.695652174,0.649122807,0.738461538,0.19,0.1,0.456790123,0,0.75,0.698113208,10,0.366666667,0.214285714
10/2/2017 9:00,18,12,0,11.6,5,78,0,1,4:01 pm,2:03 am,5:42 am,5:23 pm,0.638297872,0.724637681,0.666666667,0.769230769,0.17,0.15,0.419753086,0,0.764705882,0.716981132,10,0.055555556,0.214285714
10/2/2017 10:00,18,12,0,11.6,5,78,0,1,4:01 pm,2:03 am,5:42 am,5:23 pm,0.638297872,0.739130435,0.684210526,0.784615385,0.17,0.1,0.407407407,0,0.764705882,0.735849057,10,0.077777778,0.214285714
10/2/2017 11:00,18,12,0,11.6,5,78,0,1,4:01 pm,2:03 am,5:42 am,5:23 pm,0.638297872,0.739130435,0.684210526,0.784615385,0.16,0.05,0.407407407,0,0.764705882,0.735849057,10,0.097222222,0.2
10/2/2017 12:00,18,12,0,11.6,5,78,0,1,4:01 pm,2:03 am,5:42 am,5:23 pm,0.638297872,0.739130435,0.684210526,0.784615385,0.16,0,0.407407407,0,0.764705882,0.735849057,10,0.119444444,0.2
10/2/2017 13:00,18,12,0,11.6,5,78,0,1,4:01 pm,2:03 am,5:42 am,5:23 pm,0.638297872,0.739130435,0.684210526,0.784615385,0.16,0,0.432098765,0,0.764705882,0.735849057,10,0.130555556,0.185714286
10/2/2017 14:00,18,12,0,11.6,5,78,0,1,4:01 pm,2:03 am,5:42 am,5:23 pm,0.659574468,0.739130435,0.684210526,0.784615385,0.16,0,0.444444444,0,0.779411765,0.735849057,10,0.138888889,0.185714286
10/2/2017 15:00,18,12,0,11.6,5,78,0,1,4:01 pm,2:03 am,5:42 am,5:23 pm,0.659574468,0.724637681,0.666666667,0.769230769,0.16,0,0.469135802,0,0.779411765,0.716981132,10,0.147222222,0.171428571
10/2/2017 16:00,18,12,0,11.6,5,78,0,1,4:01 pm,2:03 am,5:42 am,5:23 pm,0.659574468,0.710144928,0.649122807,0.753846154,0.13,0,0.543209877,0,0.794117647,0.698113208,10,0.205555556,0.142857143
10/2/2017 17:00,18,12,0,11.6,5,78,0,1,4:01 pm,2:03 am,5:42 am,5:23 pm,0.680851064,0.710144928,0.649122807,0.753846154,0.1,0,0.617283951,0,0.794117647,0.698113208,10,0.263888889,0.1
10/2/2017 18:00,18,12,0,11.6,5,78,0,0,4:01 pm,2:03 am,5:42 am,5:23 pm,0.70212766,0.695652174,0.631578947,0.738461538,0.07,0,0.679012346,0,0.808823529,0.679245283,10,0.325,0.071428571
10/2/2017 19:00,18,12,0,11.6,5,78,0,0,4:01 pm,2:03 am,5:42 am,5:23 pm,0.70212766,0.695652174,0.631578947,0.738461538,0.06,0,0.716049383,0,0.823529412,0.679245283,10,0.336111111,0.071428571
10/2/2017 20:00,18,12,0,11.6,5,78,0,0,4:01 pm,2:03 am,5:42 am,5:23 pm,0.723404255,0.695652174,0.631578947,0.738461538,0.06,0,0.740740741,0,0.823529412,0.679245283,10,0.347222222,0.057142857
10/2/2017 21:00,18,12,0,11.6,5,78,0,0,4:01 pm,2:03 am,5:42 am,5:23 pm,0.723404255,0.710144928,0.649122807,0.753846154,0.06,0,0.765432099,0,0.838235294,0.698113208,10,0.361111111,0.057142857
10/2/2017 22:00,18,12,0,11.6,5,78,0,0,4:01 pm,2:03 am,5:42 am,5:23 pm,0.723404255,0.695652174,0.631578947,0.738461538,0.06,0,0.765432099,0,0.838235294,0.679245283,10,0.336111111,0.071428571
10/2/2017 23:00,18,12,0,11.6,5,78,0,0,4:01 pm,2:03 am,5:42 am,5:23 pm,0.723404255,0.695652174,0.631578947,0.738461538,0.07,0,0.75308642,0,0.852941176,0.679245283,10,0.308333333,0.071428571
10/3/2017 0:00,18,13,0,11.6,5,85,0,0,4:34 pm,3:06 am,5:43 am,5:21 pm,0.723404255,0.695652174,0.631578947,0.738461538,0.07,0,0.75308642,0,0.852941176,0.679245283,10,0.283333333,0.085714286
10/3/2017 1:00,18,13,0,11.6,5,85,0,0,4:34 pm,3:06 am,5:43 am,5:21 pm,0.70212766,0.695652174,0.631578947,0.738461538,0.08,0,0.75308642,0,0.852941176,0.679245283,10,0.266666667,0.085714286
